SilverPaw-Reves/vertx-reves-mysql,8.0.18,"2020-12-31 08:14:37",git://github.com/SilverPaw-Reves/vertx-reves-mysql.git
ZhuoZhuoCrayon/IceMall,5.1.32,"2022-12-16 04:01:47",git://github.com/ZhuoZhuoCrayon/IceMall.git
waylau/lite,8.0.16,"2022-03-31 18:46:29",git://github.com/waylau/lite.git
springtainer/springtainer-mysql,8.0.32,"2023-03-30 11:24:32",git://github.com/springtainer/springtainer-mysql.git
yindz/crud-generator,8.0.28,"2022-11-23 22:25:37",git://github.com/yindz/crud-generator.git
scalar-labs/scalardb,8.0.31,"2023-04-11 01:19:58",git://github.com/scalar-labs/scalardb.git
liuxinglanyue/migration-tool,5.1.31,"2015-03-10 10:47:48",git://github.com/liuxinglanyue/migration-tool.git
ogz00/SpringMVC-SpringSecurity-MySql-Hibernate,5.1.35,"2015-07-12 20:45:00",git://github.com/ogz00/SpringMVC-SpringSecurity-MySql-Hibernate.git
ydespreaux/testcontainers,8.0.13,"2019-05-03 16:33:36",git://github.com/ydespreaux/testcontainers.git
ICEI-PUC-Minas-PPLES-TI/PLF-ES-2022-2-MON-CursoAPIJava,8.0.30,"2023-02-18 17:47:48",git://github.com/ICEI-PUC-Minas-PPLES-TI/PLF-ES-2022-2-MON-CursoAPIJava.git
yourkevin/NiterForum,5.1.46,"2023-02-22 07:31:04",git://github.com/yourkevin/NiterForum.git
sunshinezxf/Selling,5.1.35,"2018-10-17 08:26:37",git://github.com/sunshinezxf/Selling.git
jgperrin/net.jgp.books.spark.ch08,8.0.16,"2022-06-20 23:29:57",git://github.com/jgperrin/net.jgp.books.spark.ch08.git
x-zhang/hive-mysql,5.1.16,"2022-06-20 23:14:56",git://github.com/x-zhang/hive-mysql.git
killbill/testing-mysql-server,8.0.31,"2022-12-11 01:53:20",git://github.com/killbill/testing-mysql-server.git
paxoscn/mysql-protocol,8.0.23,"2022-12-29 11:03:37",git://github.com/paxoscn/mysql-protocol.git
Cleymobil/avengers-db,5.1.38,"2017-04-03 12:44:38",git://github.com/Cleymobil/avengers-db.git
fusesource/crowdmysql,5.1.6,"2010-12-29 14:46:07",git://github.com/fusesource/crowdmysql.git
yparsak/MVCHBRMYSQL,5.1.21,"2018-05-01 17:32:44",git://github.com/yparsak/MVCHBRMYSQL.git
dbford/Sample-MySQL-Message-Queue,8.0.19,"2022-06-21 03:02:35",git://github.com/dbford/Sample-MySQL-Message-Queue.git
helicalinsight/helicalinsight,8.0.22,"2023-02-22 06:10:09",git://github.com/helicalinsight/helicalinsight.git
Kevin0117rc/Spring-MVC-JQGrid,5.1.16,"2015-01-26 17:26:58",git://github.com/Kevin0117rc/Spring-MVC-JQGrid.git
seanaharrison/springmvc-hibernate-example,5.1.27,"2014-06-30 20:02:37",git://github.com/seanaharrison/springmvc-hibernate-example.git
Frost-Lee/Tiny-Library,5.1.6,"2022-06-21 01:05:51",git://github.com/Frost-Lee/Tiny-Library.git
guyplusplus/MySQL-Data-Compare,8.0.28,"2022-10-23 06:43:35",git://github.com/guyplusplus/MySQL-Data-Compare.git
jinshuai86/SecKillSystem,5.1.39,"2022-06-21 00:46:12",git://github.com/jinshuai86/SecKillSystem.git
izneus/bonfire-mysql,8.0.28,"2023-01-05 03:37:25",git://github.com/izneus/bonfire-mysql.git
ysc/data-generator,5.1.37,"2018-05-24 13:45:27",git://github.com/ysc/data-generator.git
blackteam-xingyu/mysqls-java,8.0.9,"2022-07-04 01:49:16",git://github.com/blackteam-xingyu/mysqls-java.git
pankajkhatiwada/hapi-fhir-jpaserver-oauth,6.0.5,"2019-11-21 19:24:07",git://github.com/pankajkhatiwada/hapi-fhir-jpaserver-oauth.git
yubinCloud/fairy-wiki,8.0.22,"2021-06-17 13:14:43",git://github.com/yubinCloud/fairy-wiki.git
marinsborg/UrlShortener-API,8.0.28,"2022-09-11 17:51:02",git://github.com/marinsborg/UrlShortener-API.git
ebean-orm-deprecated/ebean-test,8.0.16,"2020-10-12 23:13:28",git://github.com/ebean-orm-deprecated/ebean-test.git
nvguiyachuang/flink-cdc-mysql-to-doris,8.0.21,"2022-07-22 10:38:58",git://github.com/nvguiyachuang/flink-cdc-mysql-to-doris.git
lqc520/blog-boot,5.1.47,"2022-06-21 01:24:11",git://github.com/lqc520/blog-boot.git
HarshKapadia2/JDBC_AirlineManagementSystem,8.0.18,"2022-06-21 02:06:53",git://github.com/HarshKapadia2/JDBC_AirlineManagementSystem.git
Trivadis/sqldev-jdbc-proxy,8.0.30,"2022-09-10 08:50:30",git://github.com/Trivadis/sqldev-jdbc-proxy.git
ititandev/instagram-api-clone,8.0.11,"2018-11-23 20:31:40",git://github.com/ititandev/instagram-api-clone.git
siddhi-io/siddhi-store-rdbms,5.1.38,"2022-11-28 07:08:11",git://github.com/siddhi-io/siddhi-store-rdbms.git
zhengguohuang/community,8.0.16,"2021-04-27 11:20:53",git://github.com/zhengguohuang/community.git
Zhuoyuan1/EasyDataBaseExport,8.0.29,"2023-03-08 01:31:18",git://github.com/Zhuoyuan1/EasyDataBaseExport.git
purgeteam/data-source-spring-boot,0.1.0,"2020-05-16 08:22:30",git://github.com/purgeteam/data-source-spring-boot.git
andromedarabbit/mybatis-pagination,8.0.24,"2023-03-23 23:23:43",git://github.com/andromedarabbit/mybatis-pagination.git
HoffmanZheng/Multi-Threaded-Crawler,8.0.28,"2022-11-14 02:33:14",git://github.com/HoffmanZheng/Multi-Threaded-Crawler.git
darkunito/MySQL,5.1.34,"2015-03-02 06:22:53",git://github.com/darkunito/MySQL.git
Tibarn/mysql,5.1.34,"2015-10-01 15:07:44",git://github.com/Tibarn/mysql.git
SimplyRin/MySQL,8.0.12,"2018-09-04 14:35:47",git://github.com/SimplyRin/MySQL.git
Homyakin/ZakupkiParser,8.0.17,"2022-12-06 00:43:32",git://github.com/Homyakin/ZakupkiParser.git
liuanxin/mybatis-gen,8.0.28,"2022-09-25 14:07:36",git://github.com/liuanxin/mybatis-gen.git
zhoubenjian/mysql-mybatisplus,8.0.28,"2022-12-11 05:24:30",git://github.com/zhoubenjian/mysql-mybatisplus.git
yingzhuo/mysql-helper,8.0.26,"2021-08-26 00:59:20",git://github.com/yingzhuo/mysql-helper.git
YouUWd/mysql-server,8.0.25,"2023-03-07 03:17:31",git://github.com/YouUWd/mysql-server.git
ABitOfSquad/whatsapp-mysql,5.1.36,"2015-09-20 17:49:33",git://github.com/ABitOfSquad/whatsapp-mysql.git
